# q qerr q^2*I(q) q^2*I(q)err
1.027532193510322794e-02 1.968794432313607833e-05 4.160306471460741874e-03 9.250126889524915796e+00
1.034299203285637785e-02 1.960889934771814318e-05 4.357672485368663598e-03 8.814721229020275217e+00
1.041055997890528648e-02 1.967271618466650393e-05 4.489366125029940237e-03 8.884583666172622074e+00
1.047807808977542499e-02 1.965327752641207851e-05 4.622388132643996325e-03 8.227829990783112279e+00
1.054594366072180572e-02 1.980294337636987173e-05 4.822725070904912079e-03 8.678854071435862849e+00
1.061354203392379618e-02 1.959922325954547068e-05 5.010404278049646228e-03 8.408107473750797922e+00
1.068066916978054233e-02 1.936951703104478206e-05 5.198107489248713145e-03 9.239933305489836712e+00
1.074795456900138127e-02 1.967369107347422612e-05 5.431401883601487748e-03 9.174183573712673123e+00
1.081555967834111134e-02 1.967500679793557719e-05 5.626907460787058252e-03 9.300297665245921053e+00
1.088340442015805348e-02 1.979507556715620346e-05 5.804742753767754698e-03 9.301086667770738003e+00
1.095099663113481558e-02 1.961695228154988657e-05 6.051904763242809543e-03 9.333906023749950265e+00
1.101830228247720721e-02 1.943808498083365196e-05 6.363561657729162151e-03 9.505910065581881341e+00
1.108565951729728084e-02 1.967991017862559620e-05 6.605925473018308888e-03 9.429915426223784536e+00
1.115350227193604056e-02 1.969514348413923643e-05 6.923022986966156402e-03 9.463353097921372026e+00
1.122122406659877870e-02 1.983551592203123436e-05 7.217970696862949058e-03 9.584602233874607080e+00
1.128874116675627169e-02 1.966579639112595376e-05 7.637997316594327679e-03 1.020503336431396768e+01
1.135638686418806616e-02 1.980669889498567704e-05 7.967342945292067366e-03 1.062198383433364235e+01
1.142409479854553447e-02 1.978569399747035938e-05 8.454387325599489050e-03 1.068840603795741551e+01
1.149125229731751303e-02 1.936079475914814557e-05 8.575213684355077748e-03 1.669142753265936463e+01
1.155863725190687391e-02 1.974440019204544593e-05 8.823669872072319870e-03 1.936148231860768476e+01
